25  <pt<30 	2<chiso range<4 	79.4521	59.8674	14.4406	1.35622
25  <pt<30 	3<chiso range<5 	79.4521	56.6262	14.3848	1.58681
25  <pt<30 	4<chiso range<6 	79.4521	48.6192	14.7837	2.0856
25  <pt<30 	5<chiso range<7 	79.4521	60.5815	14.0122	1.34673
25  <pt<30 	6<chiso range<8 	79.4521	64.1221	13.745	1.11531
25  <pt<30 	4<chiso range<9 	79.4521	54.5135	14.4482	1.72607
25  <pt<30 	4<chiso range<10 	79.4521	56.6497	14.3359	1.59058
25  <pt<30 	6<chiso range<10 	79.4521	61.4554	14.1096	1.27549
25  <pt<30 	8<chiso range<10 	79.4521	59.2392	14.498	1.39419
25  <pt<30 	5<chiso range<12 	79.4521	64.7422	13.9591	1.05379
#######################################################################################
30  <pt<35 	2<chiso range<4 	51.7112	33.4317	12.1617	1.50304
30  <pt<35 	3<chiso range<5 	51.7112	46.5202	10.6159	0.488984
30  <pt<35 	4<chiso range<6 	51.7112	52.4935	10.1429	0.0771278
30  <pt<35 	5<chiso range<7 	51.7112	47.4673	10.8413	0.391457
30  <pt<35 	6<chiso range<8 	51.7112	51.2275	10.2175	0.0473403
30  <pt<35 	4<chiso range<9 	51.7112	52.5542	10.1336	0.0831886
30  <pt<35 	4<chiso range<10 	51.7112	53.3283	10.0346	0.161152
30  <pt<35 	6<chiso range<10 	51.7112	53.7953	9.98477	0.208728
30  <pt<35 	8<chiso range<10 	51.7112	57.4108	9.69693	0.587774
30  <pt<35 	5<chiso range<12 	51.7112	52.5347	10.1463	0.0811626
#######################################################################################
35  <pt<40 	2<chiso range<4 	36.0176	30.3487	8.16294	0.694468
35  <pt<40 	3<chiso range<5 	36.0176	31.6006	7.9745	0.553891
35  <pt<40 	4<chiso range<6 	36.0176	33.3987	7.89426	0.331747
35  <pt<40 	5<chiso range<7 	36.0176	35.407	7.78861	0.0783965
35  <pt<40 	6<chiso range<8 	36.0176	34.7233	7.83344	0.165228
35  <pt<40 	4<chiso range<9 	36.0176	34.8971	7.77996	0.144024
35  <pt<40 	4<chiso range<10 	36.0176	33.5286	7.89406	0.3153
35  <pt<40 	6<chiso range<10 	36.0176	33.931	7.8584	0.265525
35  <pt<40 	8<chiso range<10 	36.0176	33.5884	7.88085	0.308241
35  <pt<40 	5<chiso range<12 	36.0176	32.9078	7.90728	0.393283
#######################################################################################
40  <pt<45 	2<chiso range<4 	26.6145	27.5315	6.07766	0.15088
40  <pt<45 	3<chiso range<5 	26.6145	24.2658	6.48145	0.362373
40  <pt<45 	4<chiso range<6 	26.6145	22.7618	7.14968	0.538863
40  <pt<45 	5<chiso range<7 	26.6145	21.9434	7.65951	0.609843
40  <pt<45 	6<chiso range<8 	26.6145	27.258	6.79697	0.0946745
40  <pt<45 	4<chiso range<9 	26.6145	21.9109	7.27693	0.646371
40  <pt<45 	4<chiso range<10 	26.6145	22.7307	7.07213	0.54917
40  <pt<45 	6<chiso range<10 	26.6145	23.4567	6.92423	0.456051
40  <pt<45 	8<chiso range<10 	26.6145	26.4539	6.29209	0.0255241
40  <pt<45 	5<chiso range<12 	26.6145	24.6943	6.67066	0.287858
#######################################################################################
45  <pt<50 	2<chiso range<4 	19.7963	8.64113	7.94253	1.40449
45  <pt<50 	3<chiso range<5 	19.7963	15.1183	6.48718	0.721115
45  <pt<50 	4<chiso range<6 	19.7963	16.0502	13.5058	0.27737
45  <pt<50 	5<chiso range<7 	19.7963	16.0502	13.5058	0.27737
45  <pt<50 	6<chiso range<8 	19.7963	16.0502	13.5058	0.27737
