pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	113.836	131.403	16.4804	1.06593
25 <pt<30 	3<chiso range<9 	113.836	132.846	16.6936	1.13876
25 <pt<30 	3<chiso range<10 	113.836	131.423	16.5558	1.06229
25 <pt<30 	3<chiso range<11 	113.836	128.413	16.2759	0.895619
25 <pt<30 	3<chiso range<12 	113.836	127.36	16.1555	0.837114
25 <pt<30 	3<chiso range<13 	113.836	127.042	16.1327	0.818586
25 <pt<30 	4<chiso range<9 	113.836	135.86	16.9989	1.29561
25 <pt<30 	4<chiso range<10 	113.836	133.556	16.7603	1.17659
25 <pt<30 	4<chiso range<11 	113.836	129.8	16.4106	0.972786
25 <pt<30 	4<chiso range<12 	113.836	128.454	16.2597	0.899033
25 <pt<30 	4<chiso range<13 	113.836	127.994	16.2242	0.872647
25 <pt<30 	5<chiso range<10 	113.836	130.526	16.4547	1.0143
25 <pt<30 	5<chiso range<11 	113.836	126.604	16.0932	0.793379
25 <pt<30 	5<chiso range<12 	113.836	125.496	15.9618	0.730494
25 <pt<30 	5<chiso range<13 	113.836	125.262	15.9514	0.716301
25 <pt<30 	6<chiso range<11 	113.836	124.344	15.8828	0.661596
25 <pt<30 	6<chiso range<12 	113.836	123.393	15.7579	0.606489
25 <pt<30 	6<chiso range<13 	113.836	123.351	15.77	0.603361
25 <pt<30 	7<chiso range<12 	113.836	123.145	15.7879	0.589629
25 <pt<30 	7<chiso range<13 	113.836	123.146	15.8023	0.589155
25 <pt<30 	8<chiso range<13 	113.836	121.524	15.6956	0.489819
#######################################################################################
30 <pt<35 	3<chiso range<8 	54.3706	55.9789	10.8951	0.147617
30 <pt<35 	3<chiso range<9 	54.3706	54.8569	10.7016	0.0454418
30 <pt<35 	3<chiso range<10 	54.3706	53.7052	10.4646	0.0635858
30 <pt<35 	3<chiso range<11 	54.3706	53.8262	10.486	0.0519168
30 <pt<35 	3<chiso range<12 	54.3706	53.236	10.3814	0.109292
30 <pt<35 	3<chiso range<13 	54.3706	52.7026	10.2853	0.162173
30 <pt<35 	4<chiso range<9 	54.3706	51.5399	10.0863	0.280648
30 <pt<35 	4<chiso range<10 	54.3706	50.7383	9.90895	0.366568
30 <pt<35 	4<chiso range<11 	54.3706	51.3972	10.0311	0.296418
30 <pt<35 	4<chiso range<12 	54.3706	50.9353	9.9504	0.345242
30 <pt<35 	4<chiso range<13 	54.3706	50.5005	9.87198	0.392029
30 <pt<35 	5<chiso range<10 	54.3706	51.5328	10.1065	0.28079
30 <pt<35 	5<chiso range<11 	54.3706	52.201	10.22	0.21229
30 <pt<35 	5<chiso range<12 	54.3706	51.5591	10.1013	0.278331
30 <pt<35 	5<chiso range<13 	54.3706	50.9955	9.99416	0.337707
30 <pt<35 	6<chiso range<11 	54.3706	51.2842	9.99841	0.308689
30 <pt<35 	6<chiso range<12 	54.3706	50.6667	9.89307	0.374393
30 <pt<35 	6<chiso range<13 	54.3706	50.1628	9.80294	0.429239
30 <pt<35 	7<chiso range<12 	54.3706	49.523	9.67608	0.500988
30 <pt<35 	7<chiso range<13 	54.3706	49.0575	9.59208	0.553905
30 <pt<35 	8<chiso range<13 	54.3706	48.9441	9.58024	0.566426
#######################################################################################
35 <pt<40 	3<chiso range<8 	30.5852	32.642	7.85022	0.262005
35 <pt<40 	3<chiso range<9 	30.5852	31.6748	7.63646	0.142684
35 <pt<40 	3<chiso range<10 	30.5852	32.792	7.87623	0.280185
35 <pt<40 	3<chiso range<11 	30.5852	33.5111	8.04592	0.36365
35 <pt<40 	3<chiso range<12 	30.5852	33.5444	7.99488	0.370137
35 <pt<40 	3<chiso range<13 	30.5852	33.2689	7.90987	0.339285
35 <pt<40 	4<chiso range<9 	30.5852	31.1486	7.54894	0.074633
35 <pt<40 	4<chiso range<10 	30.5852	32.5009	7.83548	0.24449
35 <pt<40 	4<chiso range<11 	30.5852	33.3703	8.03871	0.346461
35 <pt<40 	4<chiso range<12 	30.5852	33.4464	7.98491	0.358326
35 <pt<40 	4<chiso range<13 	30.5852	33.1415	7.88791	0.324078
35 <pt<40 	5<chiso range<10 	30.5852	31.8307	7.71547	0.161429
35 <pt<40 	5<chiso range<11 	30.5852	33.0011	7.98497	0.302556
35 <pt<40 	5<chiso range<12 	30.5852	33.1302	7.92588	0.3211
35 <pt<40 	5<chiso range<13 	30.5852	32.8305	7.82212	0.287045
35 <pt<40 	6<chiso range<11 	30.5852	33.5044	8.07534	0.361496
35 <pt<40 	6<chiso range<12 	30.5852	33.5013	7.97644	0.365589
35 <pt<40 	6<chiso range<13 	30.5852	33.1155	7.85533	0.322113
35 <pt<40 	7<chiso range<12 	30.5852	33.9563	8.073	0.417577
35 <pt<40 	7<chiso range<13 	30.5852	33.4125	7.91221	0.357334
35 <pt<40 	8<chiso range<13 	30.5852	33.5963	7.91185	0.380581
#######################################################################################
40 <pt<50 	3<chiso range<8 	23.6561	31.5438	9.15998	0.861105
40 <pt<50 	3<chiso range<9 	23.6561	31.0313	8.99178	0.820216
40 <pt<50 	3<chiso range<10 	23.6561	30.4529	8.81133	0.77137
40 <pt<50 	3<chiso range<11 	23.6561	29.5182	8.52639	0.687524
40 <pt<50 	3<chiso range<12 	23.6561	27.8169	8.08288	0.514767
40 <pt<50 	3<chiso range<13 	23.6561	28.5452	8.28808	0.589895
40 <pt<50 	4<chiso range<9 	23.6561	31.4133	9.02242	0.859769
40 <pt<50 	4<chiso range<10 	23.6561	30.6068	8.79102	0.790659
40 <pt<50 	4<chiso range<11 	23.6561	29.4427	8.45084	0.684737
40 <pt<50 	4<chiso range<12 	23.6561	27.4992	7.95484	0.483115
40 <pt<50 	4<chiso range<13 	23.6561	28.3549	8.19762	0.573191
40 <pt<50 	5<chiso range<10 	23.6561	30.3447	8.81283	0.758962
40 <pt<50 	5<chiso range<11 	23.6561	28.9736	8.38818	0.633928
40 <pt<50 	5<chiso range<12 	23.6561	26.8485	7.82812	0.407812
40 <pt<50 	5<chiso range<13 	23.6561	27.8068	8.10112	0.512361
40 <pt<50 	6<chiso range<11 	23.6561	28.2565	8.13005	0.565851
40 <pt<50 	6<chiso range<12 	23.6561	26.0341	7.55795	0.314636
40 <pt<50 	6<chiso range<13 	23.6561	27.1971	7.89206	0.448679
40 <pt<50 	7<chiso range<12 	23.6561	23.9718	7.01632	0.0449951
40 <pt<50 	7<chiso range<13 	23.6561	25.5425	7.4634	0.252753
40 <pt<50 	8<chiso range<13 	23.6561	25.0156	7.25891	0.187287
#######################################################################################
50 <pt<65 	3<chiso range<8 	14.5067	13.1653	5.50615	0.243618
50 <pt<65 	3<chiso range<9 	14.5067	13.7761	5.82839	0.125352
50 <pt<65 	3<chiso range<10 	14.5067	13.7361	5.75632	0.13387
50 <pt<65 	3<chiso range<11 	14.5067	12.7984	5.35931	0.318754
50 <pt<65 	3<chiso range<12 	14.5067	12.4817	5.17629	0.391207
50 <pt<65 	3<chiso range<13 	14.5067	12.7561	5.24654	0.333668
