pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
25 <pt<30 	3<chiso range<8 	193.265	113.836	79.4284	131.403	58.8171	1.06593	1.45431
25 <pt<30 	3<chiso range<9 	193.265	113.836	79.4284	132.846	57.3574	1.13876	1.54063
25 <pt<30 	3<chiso range<10 	193.265	113.836	79.4284	131.423	58.7976	1.06229	1.44679
25 <pt<30 	3<chiso range<11 	193.265	113.836	79.4284	128.413	61.8387	0.895619	1.24416
25 <pt<30 	3<chiso range<12 	193.265	113.836	79.4284	127.36	62.9008	0.837114	1.1746
25 <pt<30 	3<chiso range<13 	193.265	113.836	79.4284	127.042	63.221	0.818586	1.15221
25 <pt<30 	4<chiso range<9 	193.265	113.836	79.4284	135.86	54.464	1.29561	1.72497
25 <pt<30 	4<chiso range<10 	193.265	113.836	79.4284	133.556	56.6383	1.17659	1.58735
25 <pt<30 	4<chiso range<11 	193.265	113.836	79.4284	129.8	60.4379	0.972786	1.33739
25 <pt<30 	4<chiso range<12 	193.265	113.836	79.4284	128.454	61.7973	0.899033	1.24899
25 <pt<30 	4<chiso range<13 	193.265	113.836	79.4284	127.994	62.2613	0.872647	1.21696
25 <pt<30 	5<chiso range<10 	193.265	113.836	79.4284	130.526	59.7046	1.0143	1.3888
25 <pt<30 	5<chiso range<11 	193.265	113.836	79.4284	126.604	63.6624	0.793379	1.12205
25 <pt<30 	5<chiso range<12 	193.265	113.836	79.4284	125.496	64.7788	0.730494	1.04814
25 <pt<30 	5<chiso range<13 	193.265	113.836	79.4284	125.262	65.0143	0.716301	1.03098
25 <pt<30 	6<chiso range<11 	193.265	113.836	79.4284	124.344	65.9388	0.661596	0.965854
25 <pt<30 	6<chiso range<12 	193.265	113.836	79.4284	123.393	66.8948	0.606489	0.902321
25 <pt<30 	6<chiso range<13 	193.265	113.836	79.4284	123.351	66.9375	0.603361	0.898167
25 <pt<30 	7<chiso range<12 	193.265	113.836	79.4284	123.145	67.1446	0.589629	0.881064
25 <pt<30 	7<chiso range<13 	193.265	113.836	79.4284	123.146	67.1434	0.589155	0.880128
25 <pt<30 	8<chiso range<13 	193.265	113.836	79.4284	121.524	68.7734	0.489819	0.76375
#######################################################################################
30 <pt<35 	3<chiso range<8 	106.076	54.3706	51.7052	55.9789	48.2113	0.147617	0.331273
30 <pt<35 	3<chiso range<9 	106.076	54.3706	51.7052	54.8569	49.3275	0.0454418	0.227549
30 <pt<35 	3<chiso range<10 	106.076	54.3706	51.7052	53.7052	50.4247	0.0635858	0.124162
30 <pt<35 	3<chiso range<11 	106.076	54.3706	51.7052	53.8262	50.2959	0.0519168	0.136516
30 <pt<35 	3<chiso range<12 	106.076	54.3706	51.7052	53.236	50.9188	0.109292	0.0765487
30 <pt<35 	3<chiso range<13 	106.076	54.3706	51.7052	52.7026	51.4701	0.162173	0.0229879
30 <pt<35 	4<chiso range<9 	106.076	54.3706	51.7052	51.5399	52.6343	0.280648	0.0916344
30 <pt<35 	4<chiso range<10 	106.076	54.3706	51.7052	50.7383	53.4068	0.366568	0.169477
30 <pt<35 	4<chiso range<11 	106.076	54.3706	51.7052	51.3972	52.7735	0.296418	0.105793
30 <pt<35 	4<chiso range<12 	106.076	54.3706	51.7052	50.9353	53.2193	0.345242	0.150471
30 <pt<35 	4<chiso range<13 	106.076	54.3706	51.7052	50.5005	53.6314	0.392029	0.192107
30 <pt<35 	5<chiso range<10 	106.076	54.3706	51.7052	51.5328	52.6413	0.28079	0.0921358
30 <pt<35 	5<chiso range<11 	106.076	54.3706	51.7052	52.201	51.9787	0.21229	0.026789
30 <pt<35 	5<chiso range<12 	106.076	54.3706	51.7052	51.5591	52.6155	0.278331	0.0896644
30 <pt<35 	5<chiso range<13 	106.076	54.3706	51.7052	50.9955	53.1618	0.337707	0.144219
30 <pt<35 	6<chiso range<11 	106.076	54.3706	51.7052	51.2842	52.8833	0.308689	0.116917
30 <pt<35 	6<chiso range<12 	106.076	54.3706	51.7052	50.6667	53.4746	0.374393	0.176384
30 <pt<35 	6<chiso range<13 	106.076	54.3706	51.7052	50.1628	54.0182	0.429239	0.231449
30 <pt<35 	7<chiso range<12 	106.076	54.3706	51.7052	49.523	54.6594	0.500988	0.29742
30 <pt<35 	7<chiso range<13 	106.076	54.3706	51.7052	49.0575	55.1261	0.553905	0.345634
30 <pt<35 	8<chiso range<13 	106.076	54.3706	51.7052	48.9441	55.2397	0.566426	0.357118
#######################################################################################
35 <pt<40 	3<chiso range<8 	66.5968	30.5852	36.0116	32.642	33.4404	0.262005	0.325504
35 <pt<40 	3<chiso range<9 	66.5968	30.5852	36.0116	31.6748	34.4136	0.142684	0.204667
35 <pt<40 	3<chiso range<10 	66.5968	30.5852	36.0116	32.792	33.2934	0.280185	0.343778
35 <pt<40 	3<chiso range<11 	66.5968	30.5852	36.0116	33.5111	32.5695	0.36365	0.430809
35 <pt<40 	3<chiso range<12 	66.5968	30.5852	36.0116	33.5444	32.5351	0.370137	0.438158
35 <pt<40 	3<chiso range<13 	66.5968	30.5852	36.0116	33.2689	32.8169	0.339285	0.405294
35 <pt<40 	4<chiso range<9 	66.5968	30.5852	36.0116	31.1486	34.9409	0.074633	0.137478
35 <pt<40 	4<chiso range<10 	66.5968	30.5852	36.0116	32.5009	33.5774	0.24449	0.308065
35 <pt<40 	4<chiso range<11 	66.5968	30.5852	36.0116	33.3703	32.7138	0.346461	0.412249
35 <pt<40 	4<chiso range<12 	66.5968	30.5852	36.0116	33.4464	32.6359	0.358326	0.425354
35 <pt<40 	4<chiso range<13 	66.5968	30.5852	36.0116	33.1415	32.9456	0.324078	0.389285
35 <pt<40 	5<chiso range<10 	66.5968	30.5852	36.0116	31.8307	34.2118	0.161429	0.228871
35 <pt<40 	5<chiso range<11 	66.5968	30.5852	36.0116	33.0011	33.0863	0.302556	0.366116
35 <pt<40 	5<chiso range<12 	66.5968	30.5852	36.0116	33.1302	32.9569	0.3211	0.38592
35 <pt<40 	5<chiso range<13 	66.5968	30.5852	36.0116	32.8305	33.2555	0.287045	0.351173
35 <pt<40 	6<chiso range<11 	66.5968	30.5852	36.0116	33.5044	32.5764	0.361496	0.428313
35 <pt<40 	6<chiso range<12 	66.5968	30.5852	36.0116	33.5013	32.5795	0.365589	0.433291
35 <pt<40 	6<chiso range<13 	66.5968	30.5852	36.0116	33.1155	32.9717	0.322113	0.38742
35 <pt<40 	7<chiso range<12 	66.5968	30.5852	36.0116	33.9563	32.1045	0.417577	0.490635
35 <pt<40 	7<chiso range<13 	66.5968	30.5852	36.0116	33.4125	32.6706	0.357334	0.424675
35 <pt<40 	8<chiso range<13 	66.5968	30.5852	36.0116	33.5963	32.4812	0.380581	0.450064
#######################################################################################
40 <pt<50 	3<chiso range<8 	70.0729	23.6561	46.4167	31.5438	38.5236	0.861105	0.829078
40 <pt<50 	3<chiso range<9 	70.0729	23.6561	46.4167	31.0313	39.0412	0.820216	0.783571
40 <pt<50 	3<chiso range<10 	70.0729	23.6561	46.4167	30.4529	39.5961	0.77137	0.733977
40 <pt<50 	3<chiso range<11 	70.0729	23.6561	46.4167	29.5182	40.5304	0.687524	0.64538
40 <pt<50 	3<chiso range<12 	70.0729	23.6561	46.4167	27.8169	42.2318	0.514767	0.470392
40 <pt<50 	3<chiso range<13 	70.0729	23.6561	46.4167	28.5452	41.5027	0.589895	0.545961
40 <pt<50 	4<chiso range<9 	70.0729	23.6561	46.4167	31.4133	38.6548	0.859769	0.825557
40 <pt<50 	4<chiso range<10 	70.0729	23.6561	46.4167	30.6068	39.4423	0.790659	0.753347
40 <pt<50 	4<chiso range<11 	70.0729	23.6561	46.4167	29.4427	40.6057	0.684737	0.641519
40 <pt<50 	4<chiso range<12 	70.0729	23.6561	46.4167	27.4992	42.5492	0.483115	0.438703
40 <pt<50 	4<chiso range<13 	70.0729	23.6561	46.4167	28.3549	41.6929	0.573191	0.528535
40 <pt<50 	5<chiso range<10 	70.0729	23.6561	46.4167	30.3447	39.7043	0.758962	0.72137
40 <pt<50 	5<chiso range<11 	70.0729	23.6561	46.4167	28.9736	41.0746	0.633928	0.590377
