pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	85.9954	82.8406	12.9435	0.243736
25 <pt<30 	3<chiso range<9 	85.9954	80.4026	12.5595	0.445304
25 <pt<30 	3<chiso range<10 	85.9954	80.4097	12.577	0.44412
25 <pt<30 	3<chiso range<11 	85.9954	78.739	12.3283	0.588597
25 <pt<30 	3<chiso range<12 	85.9954	79.1462	12.3954	0.55256
25 <pt<30 	3<chiso range<13 	85.9954	78.1573	12.26	0.639323
25 <pt<30 	4<chiso range<9 	85.9954	80.3172	12.5323	0.453085
25 <pt<30 	4<chiso range<10 	85.9954	80.3364	12.5561	0.450697
25 <pt<30 	4<chiso range<11 	85.9954	78.333	12.2603	0.624977
25 <pt<30 	4<chiso range<12 	85.9954	78.8643	12.3477	0.577525
25 <pt<30 	4<chiso range<13 	85.9954	77.7393	12.1942	0.677051
25 <pt<30 	5<chiso range<10 	85.9954	78.5694	12.3125	0.603127
25 <pt<30 	5<chiso range<11 	85.9954	76.4856	11.9966	0.792708
25 <pt<30 	5<chiso range<12 	85.9954	77.338	12.1328	0.713553
25 <pt<30 	5<chiso range<13 	85.9954	76.2244	11.98	0.815609
25 <pt<30 	6<chiso range<11 	85.9954	76.1151	11.9654	0.825739
25 <pt<30 	6<chiso range<12 	85.9954	77.1857	12.1336	0.726058
25 <pt<30 	6<chiso range<13 	85.9954	75.8836	11.9465	0.846424
25 <pt<30 	7<chiso range<12 	85.9954	76.8503	12.1302	0.753912
25 <pt<30 	7<chiso range<13 	85.9954	75.3515	11.909	0.893769
25 <pt<30 	8<chiso range<13 	85.9954	72.4343	11.4087	1.18866
#######################################################################################
30 <pt<35 	3<chiso range<8 	39.4371	15.4122	24.9127	0.964364
30 <pt<35 	3<chiso range<9 	39.4371	15.4122	24.9127	0.964364
30 <pt<35 	3<chiso range<10 	39.4371	41.7592	9.05911	0.256328
30 <pt<35 	3<chiso range<11 	39.4371	40.1888	8.72539	0.0861509
30 <pt<35 	3<chiso range<12 	39.4371	39.9089	8.66028	0.0544786
30 <pt<35 	3<chiso range<13 	39.4371	39.1293	8.52447	0.0361078
30 <pt<35 	4<chiso range<9 	39.4371	42.0434	9.12422	0.285646
30 <pt<35 	4<chiso range<10 	39.4371	40.5575	8.81648	0.12708
30 <pt<35 	4<chiso range<11 	39.4371	39.0788	8.50422	0.042132
30 <pt<35 	4<chiso range<12 	39.4371	38.8967	8.46078	0.0638712
30 <pt<35 	4<chiso range<13 	39.4371	38.1131	8.31326	0.159264
30 <pt<35 	5<chiso range<10 	39.4371	41.4571	8.99318	0.224615
30 <pt<35 	5<chiso range<11 	39.4371	39.4175	8.56341	0.00228881
30 <pt<35 	5<chiso range<12 	39.4371	39.1418	8.49839	0.0347478
30 <pt<35 	5<chiso range<13 	39.4371	38.2348	8.33542	0.14424
30 <pt<35 	6<chiso range<11 	39.4371	35.8557	7.81237	0.458427
30 <pt<35 	6<chiso range<12 	39.4371	35.9713	7.82774	0.442759
30 <pt<35 	6<chiso range<13 	39.4371	35.539	7.76731	0.50186
30 <pt<35 	7<chiso range<12 	39.4371	35.7987	7.69638	0.472742
30 <pt<35 	7<chiso range<13 	39.4371	35.6048	7.75571	0.494126
30 <pt<35 	8<chiso range<13 	39.4371	34.1387	7.43618	0.712516
#######################################################################################
35 <pt<40 	3<chiso range<8 	23.5091	21.2658	6.57247	0.341318
35 <pt<40 	3<chiso range<9 	23.5091	19.832	6.14091	0.598787
35 <pt<40 	3<chiso range<10 	23.5091	20.5392	6.35159	0.467584
35 <pt<40 	3<chiso range<11 	23.5091	20.8497	6.45126	0.41223
35 <pt<40 	3<chiso range<12 	23.5091	20.9012	6.46577	0.403339
35 <pt<40 	3<chiso range<13 	23.5091	21.3616	6.59711	0.325521
35 <pt<40 	4<chiso range<9 	23.5091	20.8312	6.43396	0.416213
35 <pt<40 	4<chiso range<10 	23.5091	21.5631	6.65084	0.292595
35 <pt<40 	4<chiso range<11 	23.5091	21.7643	6.71868	0.259694
35 <pt<40 	4<chiso range<12 	23.5091	21.7503	6.7136	0.261976
35 <pt<40 	4<chiso range<13 	23.5091	22.2462	6.85175	0.184318
35 <pt<40 	5<chiso range<10 	23.5091	20.1363	6.23107	0.541287
35 <pt<40 	5<chiso range<11 	23.5091	20.5329	6.35853	0.468064
35 <pt<40 	5<chiso range<12 	23.5091	20.6127	6.38072	0.45393
35 <pt<40 	5<chiso range<13 	23.5091	21.2184	6.5551	0.349453
35 <pt<40 	6<chiso range<11 	23.5091	19.7337	6.12766	0.616124
35 <pt<40 	6<chiso range<12 	23.5091	19.9068	6.17735	0.583146
35 <pt<40 	6<chiso range<13 	23.5091	20.577	6.37018	0.460285
35 <pt<40 	7<chiso range<12 	23.5091	20.9439	6.47755	0.396014
35 <pt<40 	7<chiso range<13 	23.5091	21.8017	6.72027	0.254067
35 <pt<40 	8<chiso range<13 	23.5091	21.4924	6.63004	0.304176
#######################################################################################
40 <pt<50 	3<chiso range<8 	20.2076	21.0052	6.40828	0.124464
40 <pt<50 	3<chiso range<9 	20.2076	19.7954	6.08734	0.0677143
40 <pt<50 	3<chiso range<10 	20.2076	20.684	6.36482	0.0748489
40 <pt<50 	3<chiso range<11 	20.2076	19.4234	5.97432	0.131262
40 <pt<50 	3<chiso range<12 	20.2076	19.7631	6.0841	0.0730593
40 <pt<50 	3<chiso range<13 	20.2076	19.3751	5.98497	0.139098
40 <pt<50 	4<chiso range<9 	20.2076	18.7522	5.81035	0.250484
40 <pt<50 	4<chiso range<10 	20.2076	19.8524	6.14851	0.0577701
40 <pt<50 	4<chiso range<11 	20.2076	18.7073	5.78499	0.259344
40 <pt<50 	4<chiso range<12 	20.2076	19.1168	5.9132	0.184469
40 <pt<50 	4<chiso range<13 	20.2076	18.8275	5.83979	0.236327
40 <pt<50 	5<chiso range<10 	20.2076	18.2397	5.69246	0.345703
40 <pt<50 	5<chiso range<11 	20.2076	17.3721	5.40371	0.524732
40 <pt<50 	5<chiso range<12 	20.2076	17.9712	5.5893	0.400122
40 <pt<50 	5<chiso range<13 	20.2076	17.8585	5.56417	0.422183
40 <pt<50 	6<chiso range<11 	20.2076	16.493	5.17839	0.717327
40 <pt<50 	6<chiso range<12 	20.2076	17.3195	5.43128	0.531753
40 <pt<50 	6<chiso range<13 	20.2076	17.2999	5.42829	0.535657
40 <pt<50 	7<chiso range<12 	20.2076	17.4088	5.46966	0.511695
40 <pt<50 	7<chiso range<13 	20.2076	17.3682	5.4593	0.520103
40 <pt<50 	8<chiso range<13 	20.2076	18.0286	5.62355	0.387478
#######################################################################################
50 <pt<65 	3<chiso range<8 	15.3424	13.6733	5.66251	0.294763
50 <pt<65 	3<chiso range<9 	15.3424	14.0539	5.79887	0.222198
50 <pt<65 	3<chiso range<10 	15.3424	13.2846	5.4645	0.376576
50 <pt<65 	3<chiso range<11 	15.3424	13.3846	5.51406	0.355056
50 <pt<65 	3<chiso range<12 	15.3424	13.4764	5.55089	0.336162
50 <pt<65 	3<chiso range<13 	15.3424	12.8987	5.33383	0.458151
50 <pt<65 	4<chiso range<9 	15.3424	14.8421	6.0893	0.0821605
50 <pt<65 	4<chiso range<10 	15.3424	13.7285	5.60876	0.287746
50 <pt<65 	4<chiso range<11 	15.3424	13.815	5.66183	0.269771
50 <pt<65 	4<chiso range<12 	15.3424	13.8683	5.68526	0.259285
