pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
25  <pt<30 	3<chiso range<8 	79.4284	58.8171	14.1726	1.45431
25  <pt<30 	3<chiso range<9 	79.4284	57.3574	14.326	1.54063
25  <pt<30 	3<chiso range<10 	79.4284	58.7976	14.2597	1.44679
25  <pt<30 	3<chiso range<11 	79.4284	61.8387	14.1378	1.24416
25  <pt<30 	3<chiso range<12 	79.4284	62.9008	14.0708	1.1746
25  <pt<30 	3<chiso range<13 	79.4284	63.221	14.0664	1.15221
25  <pt<30 	4<chiso range<9 	79.4284	54.464	14.4724	1.72497
25  <pt<30 	4<chiso range<10 	79.4284	56.6383	14.3573	1.58735
25  <pt<30 	4<chiso range<11 	79.4284	60.4379	14.1997	1.33739
25  <pt<30 	4<chiso range<12 	79.4284	61.7973	14.1163	1.24899
25  <pt<30 	4<chiso range<13 	79.4284	62.2613	14.1066	1.21696
25  <pt<30 	5<chiso range<10 	79.4284	59.7046	14.202	1.3888
25  <pt<30 	5<chiso range<11 	79.4284	63.6624	14.0511	1.12205
25  <pt<30 	5<chiso range<12 	79.4284	64.7788	13.9767	1.04814
25  <pt<30 	5<chiso range<13 	79.4284	65.0143	13.981	1.03098
25  <pt<30 	6<chiso range<11 	79.4284	65.9388	13.9665	0.965854
25  <pt<30 	6<chiso range<12 	79.4284	66.8948	13.8904	0.902321
25  <pt<30 	6<chiso range<13 	79.4284	66.9375	13.9071	0.898167
25  <pt<30 	7<chiso range<12 	79.4284	67.1446	13.942	0.881064
25  <pt<30 	7<chiso range<13 	79.4284	67.1434	13.9582	0.880128
25  <pt<30 	8<chiso range<13 	79.4284	68.7734	13.9509	0.76375
#######################################################################################
30  <pt<35 	3<chiso range<8 	51.7052	48.2113	10.5469	0.331273
30  <pt<35 	3<chiso range<9 	51.7052	49.3275	10.4492	0.227549
30  <pt<35 	3<chiso range<10 	51.7052	50.4247	10.3131	0.124162
30  <pt<35 	3<chiso range<11 	51.7052	50.2959	10.3233	0.136516
30  <pt<35 	3<chiso range<12 	51.7052	50.9188	10.2732	0.0765487
30  <pt<35 	3<chiso range<13 	51.7052	51.4701	10.2271	0.0229879
30  <pt<35 	4<chiso range<9 	51.7052	52.6343	10.1392	0.0916344
30  <pt<35 	4<chiso range<10 	51.7052	53.4068	10.0403	0.169477
30  <pt<35 	4<chiso range<11 	51.7052	52.7735	10.098	0.105793
30  <pt<35 	4<chiso range<12 	51.7052	53.2193	10.0624	0.150471
30  <pt<35 	4<chiso range<13 	51.7052	53.6314	10.0267	0.192107
