pt range	chiso rangechi2	value	error
25<Pt<30   2<chiso<4	0.0346461	0.646203	2.16024
25<Pt<30   3<chiso<5	0.00218505	0.803194	0.559861
25<Pt<30   4<chiso<6	0.00143727	0.829807	0.639923
25<Pt<30   5<chiso<7	0.0432873	-0.0299795	4.41951
25<Pt<30   6<chiso<8	0.042722	-0.106884	4.34549
25<Pt<30   4<chiso<9	0.0432686	-0.0344997	4.41418
25<Pt<30   4<chiso<10	0.0432503	-0.0401376	4.4124
25<Pt<30   6<chiso<10	0.0429383	-0.0843347	4.33842
25<Pt<30   8<chiso<10	0.0430959	-0.0641779	4.28363
25<Pt<30   5<chiso<12	0.0430156	-0.0768933	4.38975
############################################
30<Pt<35   2<chiso<4	0.00780957	0.892635	1.17191
30<Pt<35   3<chiso<5	0.00692696	0.967167	0.95724
30<Pt<35   4<chiso<6	0.017607	-0.0682716	4.49716
30<Pt<35   5<chiso<7	0.0169587	-0.108285	3.9403
30<Pt<35   6<chiso<8	0.0167906	-0.139951	4.53875
30<Pt<35   4<chiso<9	0.0176386	-0.0672976	4.61951
30<Pt<35   4<chiso<10	0.0176857	-0.0575166	4.60712
30<Pt<35   6<chiso<10	0.0177247	-0.0474416	4.61841
30<Pt<35   8<chiso<10	0.00836765	0.891644	1.20949
30<Pt<35   5<chiso<12	0.0166191	0.649779	5.99137
############################################
35<Pt<40   2<chiso<4	0.00525955	-0.0666845	5.77347
35<Pt<40   3<chiso<5	0.00510108	-0.0966827	5.72175
35<Pt<40   4<chiso<6	0.00524963	-0.0684137	5.76819
35<Pt<40   5<chiso<7	0.00470523	-0.135643	5.48789
35<Pt<40   6<chiso<8	0.00438675	-0.162489	5.4625
35<Pt<40   4<chiso<9	0.00465015	-0.138331	5.45206
35<Pt<40   4<chiso<10	0.00456789	-0.146774	5.43922
35<Pt<40   6<chiso<10	0.00420894	-0.167153	5.25285
35<Pt<40   8<chiso<10	0.00407364	-0.162428	4.89219
35<Pt<40   5<chiso<12	0.00491627	-0.114773	5.65535
############################################
40<Pt<50   2<chiso<4	nan	0.931053	0.685164
40<Pt<50   3<chiso<5	nan	1.02815	0.752107
40<Pt<50   4<chiso<6	nan	1.14513	0.655449
40<Pt<50   5<chiso<7	nan	1.36941	1.19961
40<Pt<50   4<chiso<9	nan	0.93859	0.613558
40<Pt<50   4<chiso<10	nan	0.922528	0.58925
40<Pt<50   6<chiso<10	nan	0.877821	0.624227
40<Pt<50   5<chiso<12	nan	0.859841	0.525232
############################################
50<Pt<65   2<chiso<4	0.0692221	0.567601	0.897011
50<Pt<65   3<chiso<5	0.0360482	0.317064	1.20731
50<Pt<65   5<chiso<7	0.0306962	0.395676	1.56898
50<Pt<65   6<chiso<8	0.54057	0.359731	0.51424
50<Pt<65   4<chiso<9	0.0185447	0.295786	1.04522
50<Pt<65   4<chiso<10	0.0174048	0.295223	1.03337
50<Pt<65   6<chiso<10	0.0313234	0.394066	1.5552
50<Pt<65   5<chiso<12	0.0159585	0.330806	1.1539
############################################
############################################
100<Pt<400   2<chiso<4	0.166384	0.416157	1.05215
100<Pt<400   3<chiso<5	0.265263	0.999938	1.75386
100<Pt<400   5<chiso<7	0.0430328	0.339532	0.876383
100<Pt<400   6<chiso<8	0.124764	0.451619	1.2051
100<Pt<400   4<chiso<9	nan	0.391331	0.976179
100<Pt<400   4<chiso<10	nan	0.440252	1.08687
100<Pt<400   6<chiso<10	0.117981	0.51509	1.30278
100<Pt<400   8<chiso<10	0.185787	0.607941	1.71319
100<Pt<400   5<chiso<12	0.0873964	0.465353	1.13274
############################################
