pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	2<chiso range<4 	113.836	130.224	16.6501	0.984258
25 <pt<30 	3<chiso range<5 	113.836	133.483	16.7919	1.17003
25 <pt<30 	4<chiso range<6 	113.836	141.532	17.5798	1.57544
25 <pt<30 	5<chiso range<7 	113.836	129.485	16.237	0.963786
25 <pt<30 	6<chiso range<8 	113.836	126.085	15.8093	0.774797
25 <pt<30 	4<chiso range<9 	113.836	135.697	16.9785	1.28757
25 <pt<30 	4<chiso range<10 	113.836	133.424	16.7439	1.16986
25 <pt<30 	6<chiso range<10 	113.836	128.696	16.2795	0.912804
25 <pt<30 	8<chiso range<10 	113.836	130.851	16.7365	1.01664
25 <pt<30 	5<chiso range<12 	113.836	125.388	15.9478	0.724363
#######################################################################################
30 <pt<35 	2<chiso range<4 	54.3706	70.6307	13.5365	1.2012
30 <pt<35 	3<chiso range<5 	54.3706	57.611	11.1175	0.291468
30 <pt<35 	4<chiso range<6 	54.3706	51.6568	10.1119	0.268377
30 <pt<35 	5<chiso range<7 	54.3706	56.6285	11.2367	0.20094
30 <pt<35 	6<chiso range<8 	54.3706	52.8214	10.289	0.150569
30 <pt<35 	4<chiso range<9 	54.3706	51.5398	10.0862	0.280661
30 <pt<35 	4<chiso range<10 	54.3706	50.7381	9.90888	0.36659
30 <pt<35 	6<chiso range<10 	54.3706	50.2784	9.80897	0.41719
30 <pt<35 	8<chiso range<10 	54.3706	46.6822	9.13722	0.841438
30 <pt<35 	5<chiso range<12 	54.3706	51.559	10.1012	0.278343
#######################################################################################
35 <pt<40 	2<chiso range<4 	30.5852	35.7127	8.47558	0.604973
35 <pt<40 	3<chiso range<5 	30.5852	34.4355	8.14585	0.47267
35 <pt<40 	4<chiso range<6 	30.5852	32.63	7.85177	0.260425
35 <pt<40 	5<chiso range<7 	30.5852	30.628	7.49082	0.00571366
35 <pt<40 	6<chiso range<8 	30.5852	31.3074	7.62232	0.0947481
35 <pt<40 	4<chiso range<9 	30.5852	31.1486	7.54891	0.0746333
35 <pt<40 	4<chiso range<10 	30.5852	32.5008	7.83542	0.24448
35 <pt<40 	6<chiso range<10 	30.5852	32.0777	7.74691	0.192657
35 <pt<40 	8<chiso range<10 	30.5852	32.4527	7.81684	0.238907
35 <pt<40 	5<chiso range<12 	30.5852	33.1302	7.92584	0.321102
#######################################################################################
