pt range	 chiso range	 DataNumber/FakeNumber/     fake_fraction/fit_fakerate/fit_fakerateErr/closure
#######################################################################################
25 <pt<30 	2<chiso range<4 	121.917	46.1173	0.378268	0.531212	0.0691392	2.21212
25 <pt<30 	3<chiso range<5 	121.917	46.1173	0.378268	0.563181	0.0721611	2.5625
25 <pt<30 	4<chiso range<6 	121.917	46.1173	0.378268	0.631719	0.0799591	3.16976
25 <pt<30 	5<chiso range<7 	121.917	46.1173	0.378268	0.534292	0.0682493	2.28609
25 <pt<30 	6<chiso range<8 	121.917	46.1173	0.378268	0.511664	0.0653533	2.04115
25 <pt<30 	4<chiso range<9 	121.917	46.1173	0.378268	0.585381	0.0746166	2.7757
25 <pt<30 	4<chiso range<10 	121.917	46.1173	0.378268	0.565392	0.0722755	2.58904
25 <pt<30 	6<chiso range<10 	121.917	46.1173	0.378268	0.527175	0.0679085	2.19276
25 <pt<30 	8<chiso range<10 	121.917	46.1173	0.378268	0.541069	0.0704477	2.31095
25 <pt<30 	5<chiso range<12 	121.917	46.1173	0.378268	0.497513	0.0644258	1.85089
#######################################################################################
30 <pt<35 	2<chiso range<4 	74.3532	24.5867	0.330674	0.576732	0.111897	2.19897
30 <pt<35 	3<chiso range<5 	74.3532	24.5867	0.330674	0.399869	0.0781048	0.88592
30 <pt<35 	4<chiso range<6 	74.3532	24.5867	0.330674	0.323566	0.0640886	0.110915
30 <pt<35 	5<chiso range<7 	74.3532	24.5867	0.330674	0.396783	0.0796402	0.830091
30 <pt<35 	6<chiso range<8 	74.3532	24.5867	0.330674	0.335656	0.0661641	0.0752915
30 <pt<35 	4<chiso range<9 	74.3532	24.5867	0.330674	0.321215	0.0636061	0.148718
30 <pt<35 	4<chiso range<10 	74.3532	24.5867	0.330674	0.311626	0.061583	0.309313
30 <pt<35 	6<chiso range<10 	74.3532	24.5867	0.330674	0.30547 	0.0603055	0.417945
30 <pt<35 	8<chiso range<10 	74.3532	24.5867	0.330674	0.266669	0.0528141	1.2119
30 <pt<35 	5<chiso range<12 	74.3532	24.5867	0.330674	0.32188 	0.0638069	0.137828
#######################################################################################
35 <pt<40 	2<chiso range<4 	46.6628	11.8132	0.253161	0.370651	0.0888769	1.32194
35 <pt<40 	3<chiso range<5 	46.6628	11.8132	0.253161	0.340158	0.0813051	1.07001
35 <pt<40 	4<chiso range<6 	46.6628	11.8132	0.253161	0.307459	0.07473 	0.726589
35 <pt<40 	5<chiso range<7 	46.6628	11.8132	0.253161	0.272504	0.0672982	0.287423
35 <pt<40 	6<chiso range<8 	46.6628	11.8132	0.253161	0.289651	0.0712152	0.512391
35 <pt<40 	4<chiso range<9 	46.6628	11.8132	0.253161	0.278111	0.0680705	0.366532
35 <pt<40 	4<chiso range<10 	46.6628	11.8132	0.253161	0.303539	0.0739136	0.68158
35 <pt<40 	6<chiso range<10 	46.6628	11.8132	0.253161	0.298199	0.0727375	0.619186
35 <pt<40 	8<chiso range<10 	46.6628	11.8132	0.253161	0.303236	0.0737752	0.678751
35 <pt<40 	5<chiso range<12 	46.6628	11.8132	0.253161	0.315798	0.07632 	0.820716
#######################################################################################
40 <pt<50 	2<chiso range<4 	56.4148	11.0652	0.19614  	0.290039	0.0863658	1.08722
40 <pt<50 	3<chiso range<5 	56.4148	11.0652	0.19614  	0.315857	0.0913138	1.31105
40 <pt<50 	4<chiso range<6 	56.4148	11.0652	0.19614  	0.33339 	0.0960234	1.42934
40 <pt<50 	5<chiso range<7 	56.4148	11.0652	0.19614  	0.384043	0.110847	1.69516
40 <pt<50 	6<chiso range<8 	56.4148	11.0652	0.19614  	0.355525	0.10382 	1.5352
40 <pt<50 	4<chiso range<9 	56.4148	11.0652	0.19614  	0.32997 	0.09529 	1.40445
40 <pt<50 	4<chiso range<10 	56.4148	11.0652	0.19614  	0.313874	0.0906443	1.29886
40 <pt<50 	6<chiso range<10 	56.4148	11.0652	0.19614  	0.298741	0.0865931	1.18486
40 <pt<50 	8<chiso range<10 	56.4148	11.0652	0.19614  	0.232446	0.0670193	0.541724
40 <pt<50 	5<chiso range<12 	56.4148	11.0652	0.19614  	0.24748 	0.0725391	0.707756
#######################################################################################
50 <pt<65 	2<chiso range<4 	43.7031	7.35944	0.168396	0.202098	0.0807493	0.417362
50 <pt<65 	3<chiso range<5 	43.7031	7.35944	0.168396	0.123261	0.0536476	0.841329
50 <pt<65 	4<chiso range<6 	43.7031	7.35944	0.168396	0.090966	0.0415598	1.86311
