pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
25 <pt<30 	2<chiso range<4 	121.917	46.1173	75.8	130.224	60.0334	5.05142	1.09106
25 <pt<30 	3<chiso range<5 	121.917	46.1173	75.8	133.483	56.7358	5.20285	1.3239
25 <pt<30 	4<chiso range<6 	121.917	46.1173	75.8	141.532	48.8121	5.42752	1.82467
25 <pt<30 	5<chiso range<7 	121.917	46.1173	75.8	129.485	60.7791	5.13443	1.07141
25 <pt<30 	6<chiso range<8 	121.917	46.1173	75.8	126.085	64.209	5.05827	0.842345
25 <pt<30 	4<chiso range<9 	121.917	46.1173	75.8	135.697	54.6504	5.27607	1.46264
25 <pt<30 	4<chiso range<10 	121.917	46.1173	75.8	133.424	56.7953	5.21424	1.32462
25 <pt<30 	6<chiso range<10 	121.917	46.1173	75.8	128.696	61.5767	5.07256	1.00708
25 <pt<30 	8<chiso range<10 	121.917	46.1173	75.8	130.851	59.4018	5.06281	1.13019
25 <pt<30 	5<chiso range<12 	121.917	46.1173	75.8	125.388	64.911	4.97064	0.779517
#######################################################################################
30 <pt<35 	2<chiso range<4 	74.3532	24.5867	49.7665	70.6307	33.5163	3.40147	1.33552
30 <pt<35 	3<chiso range<5 	74.3532	24.5867	49.7665	57.611	46.5745	2.97048	0.300421
30 <pt<35 	4<chiso range<6 	74.3532	24.5867	49.7665	51.6568	52.5255	2.67705	0.271721
30 <pt<35 	5<chiso range<7 	74.3532	24.5867	49.7665	56.6285	47.5726	2.85153	0.202313
30 <pt<35 	6<chiso range<8 	74.3532	24.5867	49.7665	52.8214	51.3543	2.74416	0.155365
30 <pt<35 	4<chiso range<9 	74.3532	24.5867	49.7665	51.5398	52.6403	2.67227	0.283426
30 <pt<35 	4<chiso range<10 	74.3532	24.5867	49.7665	50.7381	53.4128	2.63919	0.363156
30 <pt<35 	6<chiso range<10 	74.3532	24.5867	49.7665	50.2784	53.9083	2.6192	0.414661
30 <pt<35 	8<chiso range<10 	74.3532	24.5867	49.7665	46.6822	57.5111	2.41819	0.798255
30 <pt<35 	5<chiso range<12 	74.3532	24.5867	49.7665	51.559	52.6214	2.67021	0.281202
#######################################################################################
35 <pt<40 	2<chiso range<4 	46.6628	11.8132	34.8496	35.7127	30.3876	2.81981	0.545961
35 <pt<40 	3<chiso range<5 	46.6628	11.8132	34.8496	34.4355	31.6593	2.77716	0.399714
35 <pt<40 	4<chiso range<6 	46.6628	11.8132	34.8496	32.63	33.4579	2.65122	0.176109
35 <pt<40 	5<chiso range<7 	46.6628	11.8132	34.8496	30.628	35.4687	2.51171	0.0793981
35 <pt<40 	6<chiso range<8 	46.6628	11.8132	34.8496	31.3074	34.7876	2.55752	0.00790826
35 <pt<40 	4<chiso range<9 	46.6628	11.8132	34.8496	31.1486	34.9468	2.56135	0.01248
35 <pt<40 	4<chiso range<10 	46.6628	11.8132	34.8496	32.5008	33.5833	2.64027	0.160253
35 <pt<40 	6<chiso range<10 	46.6628	11.8132	34.8496	32.0777	33.9868	2.61582	0.109695
35 <pt<40 	8<chiso range<10 	46.6628	11.8132	34.8496	32.4527	33.6297	2.64039	0.154628
35 <pt<40 	5<chiso range<12 	46.6628	11.8132	34.8496	33.1302	32.9629	2.68956	0.238349
#######################################################################################
40 <pt<50 	2<chiso range<4 	56.4148	11.0652	45.3495	28.4941	41.5481	2.06467	0.415617
40 <pt<50 	3<chiso range<5 	56.4148	11.0652	45.3495	30.414	39.629	2.21254	0.619524
40 <pt<50 	4<chiso range<6 	56.4148	11.0652	45.3495	31.2408	38.822	2.25452	0.698177
40 <pt<50 	5<chiso range<7 	56.4148	11.0652	45.3495	34.2625	35.7701	2.35851	0.966793
40 <pt<50 	6<chiso range<8 	56.4148	11.0652	45.3495	32.8304	37.2206	2.28236	0.833379
40 <pt<50 	4<chiso range<9 	56.4148	11.0652	45.3495	31.4134	38.6487	2.25527	0.712718
40 <pt<50 	4<chiso range<10 	56.4148	11.0652	45.3495	30.6069	39.4363	2.2229	0.638739
40 <pt<50 	6<chiso range<10 	56.4148	11.0652	45.3495	29.863	40.1798	2.18338	0.564218
40 <pt<50 	8<chiso range<10 	56.4148	11.0652	45.3495	26.2374	43.8026	2.0166	0.180438
40 <pt<50 	5<chiso range<12 	56.4148	11.0652	45.3495	26.8485	43.1932	2.01623	0.245786
#######################################################################################
50 <pt<65 	2<chiso range<4 	43.7031	7.35944	36.3437	15.6596	35.5044	1.33021	0.110617
50 <pt<65 	3<chiso range<5 	43.7031	7.35944	36.3437	11.6028	39.5568	0.842224	0.446986
50 <pt<65 	4<chiso range<6 	43.7031	7.35944	36.3437	9.42825	41.7561	0.481289	0.77381
50 <pt<65 	5<chiso range<7 	43.7031	7.35944	36.3437	11.6806	39.4674	0.805507	0.422173
50 <pt<65 	6<chiso range<8 	43.7031	7.35944	36.3437	15.834	35.3341	1.32399	0.131162
50 <pt<65 	4<chiso range<9 	43.7031	7.35944	36.3437	13.3925	37.7211	1.03805	0.183278
50 <pt<65 	4<chiso range<10 	43.7031	7.35944	36.3437	13.5203	37.5913	1.07078	0.167316
50 <pt<65 	6<chiso range<10 	43.7031	7.35944	36.3437	16.4601	34.7168	1.36241	0.207114
50 <pt<65 	8<chiso range<10 	43.7031	7.35944	36.3437	15.9686	35.2065	1.27367	0.142563
50 <pt<65 	5<chiso range<12 	43.7031	7.35944	36.3437	12.6257	38.5289	1.01822	0.305479
#######################################################################################
65 <pt<100 	2<chiso range<4 	35.8244	4.50837	31.316	9.78438	32.1626	1.21067	0.133949
