pt range	chiso range	selectData_number	FakeNumber	TrueNumber	selectFake_number	selectTrue_number	closureFake_test	closureTrue_test
25 <pt<30 	2<chiso range<4 	121.917	46.1173	75.8	20.5983	75.8889	5.05142	1.09106
25 <pt<30 	3<chiso range<5 	121.917	46.1173	75.8	20.2554	75.8889	5.20285	1.3239
25 <pt<30 	4<chiso range<6 	121.917	46.1173	75.8	24.2989	75.8889	5.42752	1.82467
25 <pt<30 	5<chiso range<7 	121.917	46.1173	75.8	22.5336	75.8889	5.13443	1.07141
25 <pt<30 	6<chiso range<8 	121.917	46.1173	75.8	18.1841	75.8889	5.05827	0.842345
25 <pt<30 	4<chiso range<9 	121.917	46.1173	75.8	51.3421	75.8889	5.27607	1.46264
25 <pt<30 	4<chiso range<10 	121.917	46.1173	75.8	59.8431	75.8889	5.21424	1.32462
25 <pt<30 	6<chiso range<10 	121.917	46.1173	75.8	53.1941	75.8889	5.07256	1.00708
25 <pt<30 	8<chiso range<10 	121.917	46.1173	75.8	32.4527	75.8889	5.06281	1.13019
25 <pt<30 	5<chiso range<12 	121.917	46.1173	75.8	74.0475	75.8889	4.97064	0.779517
#######################################################################################
30 <pt<35 	2<chiso range<4 	74.3532	24.5867	49.7665	53.1941	50.2052	3.40147	1.33552
30 <pt<35 	3<chiso range<5 	74.3532	24.5867	49.7665	32.4527	50.2052	2.97048	0.300421
30 <pt<35 	4<chiso range<6 	74.3532	24.5867	49.7665	74.0475	50.2052	2.67705	0.271721
30 <pt<35 	5<chiso range<7 	74.3532	24.5867	49.7665	11.2692	50.2052	2.85153	0.202313
30 <pt<35 	6<chiso range<8 	74.3532	24.5867	49.7665	11.2727	50.2052	2.74416	0.155365
30 <pt<35 	4<chiso range<9 	74.3532	24.5867	49.7665	25.8484	50.2052	2.67227	0.283426
30 <pt<35 	4<chiso range<10 	74.3532	24.5867	49.7665	29.9821	50.2052	2.63919	0.363156
30 <pt<35 	6<chiso range<10 	74.3532	24.5867	49.7665	28.8443	50.2052	2.6192	0.414661
30 <pt<35 	8<chiso range<10 	74.3532	24.5867	49.7665	15.69	50.2052	2.41819	0.798255
30 <pt<35 	5<chiso range<12 	74.3532	24.5867	49.7665	40.1251	50.2052	2.67021	0.281202
#######################################################################################
35 <pt<40 	2<chiso range<4 	46.6628	11.8132	34.8496	28.8443	34.8496	2.81981	0.545961
35 <pt<40 	3<chiso range<5 	46.6628	11.8132	34.8496	15.69	34.8496	2.77716	0.399714
35 <pt<40 	4<chiso range<6 	46.6628	11.8132	34.8496	40.1251	34.8496	2.65122	0.176109
35 <pt<40 	5<chiso range<7 	46.6628	11.8132	34.8496	5.36794	34.8496	2.51171	0.0793981
35 <pt<40 	6<chiso range<8 	46.6628	11.8132	34.8496	6.41941	34.8496	2.55752	0.00790826
35 <pt<40 	4<chiso range<9 	46.6628	11.8132	34.8496	15.0629	34.8496	2.56135	0.01248
35 <pt<40 	4<chiso range<10 	46.6628	11.8132	34.8496	18.3715	34.8496	2.64027	0.160253
35 <pt<40 	6<chiso range<10 	46.6628	11.8132	34.8496	22.4534	34.8496	2.61582	0.109695
35 <pt<40 	8<chiso range<10 	46.6628	11.8132	34.8496	16.8222	34.8496	2.64039	0.154628
35 <pt<40 	5<chiso range<12 	46.6628	11.8132	34.8496	31.291	34.8496	2.68956	0.238349
#######################################################################################
40 <pt<50 	2<chiso range<4 	56.4148	11.0652	45.3495	22.4534	45.3495	2.06467	0.415617
40 <pt<50 	3<chiso range<5 	56.4148	11.0652	45.3495	16.8222	45.3495	2.21254	0.619524
40 <pt<50 	4<chiso range<6 	56.4148	11.0652	45.3495	31.291	45.3495	2.25452	0.698177
40 <pt<50 	5<chiso range<7 	56.4148	11.0652	45.3495	11.2052	45.3495	2.35851	0.966793
40 <pt<50 	6<chiso range<8 	56.4148	11.0652	45.3495	9.95217	45.3495	2.28236	0.833379
40 <pt<50 	4<chiso range<9 	56.4148	11.0652	45.3495	22.8883	45.3495	2.25527	0.712718
40 <pt<50 	4<chiso range<10 	56.4148	11.0652	45.3495	25.7299	45.3495	2.2229	0.638739
40 <pt<50 	6<chiso range<10 	56.4148	11.0652	45.3495	22.9347	45.3495	2.18338	0.564218
40 <pt<50 	8<chiso range<10 	56.4148	11.0652	45.3495	10.6506	45.3495	2.0166	0.180438
40 <pt<50 	5<chiso range<12 	56.4148	11.0652	45.3495	30.4849	45.3495	2.01623	0.245786
#######################################################################################
50 <pt<65 	2<chiso range<4 	43.7031	7.35944	36.3437	22.9347	36.3437	1.33021	0.110617
50 <pt<65 	3<chiso range<5 	43.7031	7.35944	36.3437	10.6506	36.3437	0.842224	0.446986
50 <pt<65 	4<chiso range<6 	43.7031	7.35944	36.3437	30.4849	36.3437	0.481289	0.77381
50 <pt<65 	5<chiso range<7 	43.7031	7.35944	36.3437	4.06152	36.3437	0.805507	0.422173
50 <pt<65 	6<chiso range<8 	43.7031	7.35944	36.3437	5.04427	36.3437	1.32399	0.131162
50 <pt<65 	4<chiso range<9 	43.7031	7.35944	36.3437	10.7702	36.3437	1.03805	0.183278
50 <pt<65 	4<chiso range<10 	43.7031	7.35944	36.3437	13.4874	36.3437	1.07078	0.167316
50 <pt<65 	6<chiso range<10 	43.7031	7.35944	36.3437	13.0394	36.3437	1.36241	0.207114
50 <pt<65 	8<chiso range<10 	43.7031	7.35944	36.3437	7.83024	36.3437	1.27367	0.142563
50 <pt<65 	5<chiso range<12 	43.7031	7.35944	36.3437	18.8197	36.3437	1.01822	0.305479
#######################################################################################
65 <pt<100 	2<chiso range<4 	35.8244	4.50837	31.316	13.0394	31.316	1.21067	0.133949
65 <pt<100 	3<chiso range<5 	35.8244	4.50837	31.316	7.83024	31.316	1.21021	0.131959
65 <pt<100 	4<chiso range<6 	35.8244	4.50837	31.316	18.8197	31.316	1.33696	0.0132619
65 <pt<100 	5<chiso range<7 	35.8244	4.50837	31.316	3.84458	31.316	0.363199	0.586006
65 <pt<100 	6<chiso range<8 	35.8244	4.50837	31.316	2.87248	31.316	0.363199	0.586006
65 <pt<100 	4<chiso range<9 	35.8244	4.50837	31.316	9.30144	31.316	1.262	0.0747801
65 <pt<100 	4<chiso range<10 	35.8244	4.50837	31.316	10.7477	31.316	1.25378	0.0787075
65 <pt<100 	6<chiso range<10 	35.8244	4.50837	31.316	8.83209	31.316	0.363199	0.586006
65 <pt<100 	8<chiso range<10 	35.8244	4.50837	31.316	5.76154	31.316	1.21245	0.0991799
65 <pt<100 	5<chiso range<12 	35.8244	4.50837	31.316	11.9143	31.316	1.1269	0.245795
#######################################################################################
100 <pt<400 	2<chiso range<4 	20.6023	1.47593	19.1264	8.83209	19.1264	0.265652	0.39797
100 <pt<400 	3<chiso range<5 	20.6023	1.47593	19.1264	5.76154	19.1264	0.996049	0.241467
100 <pt<400 	4<chiso range<6 	20.6023	1.47593	19.1264	11.9143	19.1264	0.661802	0.213081
100 <pt<400 	5<chiso range<7 	20.6023	1.47593	19.1264	0.83343	19.1264	0.53663	0.314033
100 <pt<400 	6<chiso range<8 	20.6023	1.47593	19.1264	1.00295	19.1264	0.632748	0.197969
