pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	113.066	205.407	21.0509	4.38656
20  <pt<25 	3<chiso range<9 	113.066	201.971	21.2298	4.18775
20  <pt<25 	3<chiso range<10 	113.066	202.916	21.1222	4.25382
20  <pt<25 	3<chiso range<11 	113.066	203.766	21.0588	4.30699
20  <pt<25 	3<chiso range<12 	113.066	205.887	20.9564	4.42924
20  <pt<25 	3<chiso range<13 	113.066	207.968	20.8771	4.54575
20  <pt<25 	4<chiso range<9 	113.066	207.883	20.942	4.5276
20  <pt<25 	4<chiso range<10 	113.066	208.133	20.8612	4.55712
20  <pt<25 	4<chiso range<11 	113.066	208.522	20.8186	4.58513
20  <pt<25 	4<chiso range<12 	113.066	210.523	20.7247	4.70246
20  <pt<25 	4<chiso range<13 	113.066	212.468	20.6581	4.81177
20  <pt<25 	5<chiso range<10 	113.066	206.974	20.8315	4.50798
20  <pt<25 	5<chiso range<11 	113.066	207.663	20.7818	4.55192
20  <pt<25 	5<chiso range<12 	113.066	210.086	20.6802	4.69144
20  <pt<25 	5<chiso range<13 	113.066	212.353	20.6094	4.81756
20  <pt<25 	6<chiso range<11 	113.066	211.808	20.5926	4.79502
20  <pt<25 	6<chiso range<12 	113.066	214.089	20.5045	4.92687
20  <pt<25 	6<chiso range<13 	113.066	216.249	20.4451	5.04683
20  <pt<25 	7<chiso range<12 	113.066	211.501	20.6603	4.76445
20  <pt<25 	7<chiso range<13 	113.066	214.591	20.56	4.93799
20  <pt<25 	8<chiso range<13 	113.066	211.682	20.6426	4.77731
#######################################################################################
25  <pt<30 	3<chiso range<8 	65.0926	117.422	15.3746	3.40363
25  <pt<30 	3<chiso range<9 	65.0926	117.693	15.402	3.41517
25  <pt<30 	3<chiso range<10 	65.0926	120.376	15.2707	3.62023
25  <pt<30 	3<chiso range<11 	65.0926	122.223	15.187	3.7618
25  <pt<30 	3<chiso range<12 	65.0926	120.72	15.3024	3.63521
25  <pt<30 	3<chiso range<13 	65.0926	121.922	15.2336	3.73053
