pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	597.296	105.977	0.177428	0.363362	0.0292164	6.36403
20 <pt<25 	3<chiso range<9 	597.296	105.977	0.177428	0.374698	0.0301541	6.54206
20 <pt<25 	3<chiso range<10 	597.296	105.977	0.177428	0.369621	0.0296698	6.47773
20 <pt<25 	3<chiso range<11 	597.296	105.977	0.177428	0.366375	0.0293802	6.4311
20 <pt<25 	3<chiso range<12 	597.296	105.977	0.177428	0.359473	0.028819	6.31684
20 <pt<25 	3<chiso range<13 	597.296	105.977	0.177428	0.353355	0.0283442	6.20681
20 <pt<25 	4<chiso range<9 	597.296	105.977	0.177428	0.356256	0.0286482	6.24221
20 <pt<25 	4<chiso range<10 	597.296	105.977	0.177428	0.352914	0.028299	6.20114
20 <pt<25 	4<chiso range<11 	597.296	105.977	0.177428	0.351105	0.0281248	6.17523
20 <pt<25 	4<chiso range<12 	597.296	105.977	0.177428	0.344611	0.027596	6.05824
20 <pt<25 	4<chiso range<13 	597.296	105.977	0.177428	0.339004	0.0271679	5.94731
20 <pt<25 	5<chiso range<10 	597.296	105.977	0.177428	0.354241	0.0283115	6.24527
20 <pt<25 	5<chiso range<11 	597.296	105.977	0.177428	0.351816	0.0280957	6.20693
20 <pt<25 	5<chiso range<12 	597.296	105.977	0.177428	0.344147	0.0274864	6.06551
20 <pt<25 	5<chiso range<13 	597.296	105.977	0.177428	0.337756	0.0270072	5.93649
20 <pt<25 	6<chiso range<11 	597.296	105.977	0.177428	0.33902	0.0270626	5.97105
20 <pt<25 	6<chiso range<12 	597.296	105.977	0.177428	0.331682	0.0264883	5.82348
20 <pt<25 	6<chiso range<13 	597.296	105.977	0.177428	0.325766	0.0260521	5.6939
20 <pt<25 	7<chiso range<12 	597.296	105.977	0.177428	0.340844	0.0272699	5.99254
20 <pt<25 	7<chiso range<13 	597.296	105.977	0.177428	0.332165	0.0266133	5.81428
20 <pt<25 	8<chiso range<13 	597.296	105.977	0.177428	0.339422	0.0271451	5.96771
#######################################################################################
25 <pt<30 	3<chiso range<8 	282.736	49.1596	0.173871	0.324939	0.0398382	3.79204
25 <pt<30 	3<chiso range<9 	282.736	49.1596	0.173871	0.324826	0.0399353	3.77999
25 <pt<30 	3<chiso range<10 	282.736	49.1596	0.173871	0.311352	0.0384072	3.57956
25 <pt<30 	3<chiso range<11 	282.736	49.1596	0.173871	0.30227	0.0373634	3.43649
25 <pt<30 	3<chiso range<12 	282.736	49.1596	0.173871	0.311368	0.0385375	3.56787
25 <pt<30 	3<chiso range<13 	282.736	49.1596	0.173871	0.305006	0.0377676	3.47216
25 <pt<30 	4<chiso range<9 	282.736	49.1596	0.173871	0.31519	0.0386379	3.65752
25 <pt<30 	4<chiso range<10 	282.736	49.1596	0.173871	0.300888	0.0370451	3.42871
25 <pt<30 	4<chiso range<11 	282.736	49.1596	0.173871	0.291458	0.0359792	3.26819
25 <pt<30 	4<chiso range<12 	282.736	49.1596	0.173871	0.303016	0.037467	3.4469
25 <pt<30 	4<chiso range<13 	282.736	49.1596	0.173871	0.296523	0.0366901	3.34292
