pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	105.977	119.641	9.49211	1.43951
20 <pt<25 	3<chiso range<9 	105.977	123.373	9.79701	1.77564
20 <pt<25 	3<chiso range<10 	105.977	121.702	9.63899	1.63139
20 <pt<25 	3<chiso range<11 	105.977	120.633	9.54466	1.53552
20 <pt<25 	3<chiso range<12 	105.977	118.36	9.36226	1.32265
20 <pt<25 	3<chiso range<13 	105.977	116.346	9.20816	1.12607
20 <pt<25 	4<chiso range<9 	105.977	117.301	9.30755	1.21665
20 <pt<25 	4<chiso range<10 	105.977	116.201	9.19339	1.1121
20 <pt<25 	4<chiso range<11 	105.977	115.605	9.13653	1.05379
20 <pt<25 	4<chiso range<12 	105.977	113.467	8.96468	0.835501
20 <pt<25 	4<chiso range<13 	105.977	111.621	8.82578	0.63949
20 <pt<25 	5<chiso range<10 	105.977	116.638	9.19662	1.15923
20 <pt<25 	5<chiso range<11 	105.977	115.839	9.12632	1.08061
20 <pt<25 	5<chiso range<12 	105.977	113.314	8.92843	0.821757
20 <pt<25 	5<chiso range<13 	105.977	111.21	8.77305	0.596486
20 <pt<25 	6<chiso range<11 	105.977	111.626	8.79064	0.642615
20 <pt<25 	6<chiso range<12 	105.977	109.21	8.6042	0.375747
20 <pt<25 	6<chiso range<13 	105.977	107.262	8.46282	0.151841
20 <pt<25 	7<chiso range<12 	105.977	112.227	8.85852	0.705535
20 <pt<25 	7<chiso range<13 	105.977	109.369	8.64557	0.39234
20 <pt<25 	8<chiso range<13 	105.977	111.758	8.81788	0.6556
#######################################################################################
25 <pt<30 	3<chiso range<8 	49.1596	58.3257	7.07556	1.29546
25 <pt<30 	3<chiso range<9 	49.1596	58.3055	7.09323	1.28938
25 <pt<30 	3<chiso range<10 	49.1596	55.8868	6.82229	0.986062
25 <pt<30 	3<chiso range<11 	49.1596	54.2567	6.63718	0.767962
25 <pt<30 	3<chiso range<12 	49.1596	55.8898	6.84592	0.983097
25 <pt<30 	3<chiso range<13 	49.1596	54.7478	6.70921	0.832915
25 <pt<30 	4<chiso range<9 	49.1596	56.5759	6.86237	1.08072
25 <pt<30 	4<chiso range<10 	49.1596	54.0086	6.58008	0.736921
25 <pt<30 	4<chiso range<11 	49.1596	52.316	6.3911	0.493874
25 <pt<30 	4<chiso range<12 	49.1596	54.3907	6.65562	0.785967
25 <pt<30 	4<chiso range<13 	49.1596	53.2251	6.5177	0.623763
25 <pt<30 	5<chiso range<10 	49.1596	53.6077	6.5295	0.681231
25 <pt<30 	5<chiso range<11 	49.1596	51.6843	6.31369	0.399877
