pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	597.296	105.977	113.066	119.641	205.407	1.43951	4.38656
20 <pt<25 	3<chiso range<9 	597.296	105.977	113.066	123.373	201.971	1.77564	4.18775
20 <pt<25 	3<chiso range<10 	597.296	105.977	113.066	121.702	202.916	1.63139	4.25382
20 <pt<25 	3<chiso range<11 	597.296	105.977	113.066	120.633	203.766	1.53552	4.30699
20 <pt<25 	3<chiso range<12 	597.296	105.977	113.066	118.36	205.887	1.32265	4.42924
20 <pt<25 	3<chiso range<13 	597.296	105.977	113.066	116.346	207.968	1.12607	4.54575
20 <pt<25 	4<chiso range<9 	597.296	105.977	113.066	117.301	207.883	1.21665	4.5276
20 <pt<25 	4<chiso range<10 	597.296	105.977	113.066	116.201	208.133	1.1121	4.55712
20 <pt<25 	4<chiso range<11 	597.296	105.977	113.066	115.605	208.522	1.05379	4.58513
20 <pt<25 	4<chiso range<12 	597.296	105.977	113.066	113.467	210.523	0.835501	4.70246
20 <pt<25 	4<chiso range<13 	597.296	105.977	113.066	111.621	212.468	0.63949	4.81177
20 <pt<25 	5<chiso range<10 	597.296	105.977	113.066	116.638	206.974	1.15923	4.50798
20 <pt<25 	5<chiso range<11 	597.296	105.977	113.066	115.839	207.663	1.08061	4.55192
20 <pt<25 	5<chiso range<12 	597.296	105.977	113.066	113.314	210.086	0.821757	4.69144
20 <pt<25 	5<chiso range<13 	597.296	105.977	113.066	111.21	212.353	0.596486	4.81756
20 <pt<25 	6<chiso range<11 	597.296	105.977	113.066	111.626	211.808	0.642615	4.79502
20 <pt<25 	6<chiso range<12 	597.296	105.977	113.066	109.21	214.089	0.375747	4.92687
20 <pt<25 	6<chiso range<13 	597.296	105.977	113.066	107.262	216.249	0.151841	5.04683
20 <pt<25 	7<chiso range<12 	597.296	105.977	113.066	112.227	211.501	0.705535	4.76445
20 <pt<25 	7<chiso range<13 	597.296	105.977	113.066	109.369	214.591	0.39234	4.93799
20 <pt<25 	8<chiso range<13 	597.296	105.977	113.066	111.758	211.682	0.6556	4.77731
#######################################################################################
25 <pt<30 	3<chiso range<8 	282.736	49.1596	65.0926	58.3257	117.422	1.29546	3.40363
25 <pt<30 	3<chiso range<9 	282.736	49.1596	65.0926	58.3055	117.693	1.28938	3.41517
